discordants,split_reads,circle_score,mean_cov,cov_incr_start,cov_incr_end,con_continuity,len_coords,target
4.0,0.0,0.0,0.24,0.97,1.0,0.76,314.0,0.0
4.0,0.0,0.0,0.65,0.46,0.77,0.52,239.0,0.0
0.0,1.0,38.0,2.37,0.62,0.85,0.0,116.0,0.0
4.0,0.0,0.0,1.37,0.89,0.78,0.06,103.0,0.0
0.0,1.0,27.0,1.75,0.56,0.58,0.0,157.0,0.0
6.0,0.0,0.0,16.53,0.42,0.5,0.0,129.0,0.0
0.0,1.0,26.83,15.71,0.36,0.38,0.0,107.0,0.0
7.0,0.0,0.0,89.79,0.54,0.89,0.0,61.0,0.0
0.0,1.0,24.0,3.0,0.36,0.36,0.0,24.0,0.0
6.0,0.0,0.0,25.25,0.31,0.49,0.0,265.0,0.0
0.0,1.0,39.0,2.86,0.99,0.99,0.0,70.0,0.0
4.0,0.0,0.0,1.52,0.54,0.7,0.3,196.0,0.0
0.0,1.0,36.0,2.56,0.57,0.99,0.0,72.0,0.0
0.0,1.0,27.0,4.52,0.61,0.7,0.0,46.0,0.0
6.0,0.0,0.0,81.53,0.84,0.67,0.0,163.0,0.0
0.0,1.0,15.0,1.85,0.13,0.76,0.19,954.0,0.0
0.0,1.0,16.0,3.78,0.7,0.32,0.0,100.0,0.0
0.0,1.0,45.0,2.73,0.84,0.45,0.0,74.0,0.0
27.0,0.0,0.0,143.76,0.68,0.99,0.0,3601.0,0.0
0.0,1.0,9.0,0.47,0.44,0.94,0.64,277.0,0.0
4.0,0.0,0.0,1.32,0.74,0.98,0.11,84.0,0.0
8.0,0.0,0.0,48.28,0.37,0.33,0.01,15277.0,0.0
0.0,1.0,19.0,4.8,0.51,1.0,0.0,156.0,0.0
0.0,1.0,23.0,3.3,0.66,0.52,0.0,88.0,0.0
0.0,1.0,29.0,2.77,0.43,0.44,0.0,52.0,0.0
0.0,1.0,18.98,0.8,1.0,0.63,0.49,31279220.0,0.0
4.0,0.0,0.0,0.26,0.97,1.0,0.74,283.0,0.0
0.0,1.0,40.99,4.3,0.45,0.92,0.0,73.0,0.0
0.0,1.0,46.0,1.88,0.42,0.89,0.0,77.0,0.0
4.0,0.0,0.0,14.34,0.83,0.68,0.0,120.0,0.0
4.0,0.0,0.0,3.61,0.7,0.92,0.0,101.0,0.0
14.0,0.0,0.0,296.07,0.63,0.21,0.0,355.0,0.0
5.0,0.0,0.0,0.98,0.1,0.99,0.49,108827160.0,0.0
28.0,0.0,0.0,452.0,0.72,0.97,0.0,67.0,0.0
0.0,1.0,38.0,2.67,0.25,0.52,0.0,64.0,0.0
6.0,0.0,0.0,96.59,0.33,0.97,0.01,4110.0,0.0
9.0,0.0,0.0,17.92,0.1,0.79,0.06,15125.0,0.0
3.0,0.0,0.0,1.73,0.43,0.94,0.65,1373.0,0.0
0.0,1.0,8.0,1.73,0.39,1.0,0.23,158.0,0.0
0.0,1.0,11.0,1.13,0.63,1.0,0.4,65743421.0,0.0
30.0,0.0,0.0,817.89,0.98,1.0,0.0,193.0,0.0
0.0,2.0,86.0,1.35,0.42,0.7,0.39,5604.0,0.0
0.0,1.0,40.0,3.78,0.37,0.51,0.0,46.0,0.0
3.0,0.0,0.0,11.74,0.36,0.56,0.0,50.0,0.0
4.0,0.0,0.0,39.13,0.08,0.17,0.0,53.0,0.0
4.0,0.0,0.0,0.82,0.29,1.0,0.55,50224258.0,0.0
0.0,1.0,22.0,2.19,0.14,0.71,0.43,194.0,0.0
0.0,1.0,7.98,6.37,0.42,0.99,0.07,796.0,0.0
0.0,1.0,25.0,1.57,0.19,1.0,0.33,26446187.0,0.0
0.0,1.0,15.89,59.3,0.34,1.0,0.0,197.0,0.0
0.0,1.0,32.0,9.28,0.7,0.92,0.0,121.0,0.0
0.0,1.0,31.0,3.09,0.3,0.73,0.0,146.0,0.0
0.0,1.0,27.0,6.66,0.44,0.71,0.0,73.0,0.0
0.0,1.0,31.0,3.4,0.25,0.46,0.0,50.0,0.0
12.0,0.0,0.0,95.03,0.52,0.68,0.0,58.0,0.0
0.0,1.0,47.0,2.44,0.21,0.59,0.32,142.0,0.0
0.0,2.0,78.0,8.2,0.5,0.82,0.0,88.0,0.0
18.0,0.0,0.0,875.55,1.0,1.0,0.0,128.0,0.0
0.0,1.0,20.0,9.81,0.56,0.59,0.0,32.0,0.0
6.0,0.0,0.0,6.76,0.4,0.71,0.0,79.0,0.0
32.0,0.0,0.0,434.12,0.99,0.88,0.0,106.0,0.0
6.0,0.0,0.0,71.28,0.28,0.88,0.0,60.0,0.0
3.0,0.0,0.0,6.46,0.45,0.84,0.0,186.0,0.0
0.0,1.0,26.0,2.51,0.98,0.92,0.0,51.0,0.0
0.0,1.0,35.0,2.63,0.26,0.51,0.0,81.0,0.0
0.0,1.0,19.99,0.87,0.81,0.72,0.49,2890.0,0.0
4.0,0.0,0.0,2.32,0.51,0.76,0.02,138.0,0.0
3.0,0.0,0.0,9.78,0.49,0.73,0.0,77.0,0.0
0.0,1.0,20.0,1.62,0.15,0.33,0.31,8242471.0,0.0
0.0,1.0,9.0,3.1,0.34,0.46,0.0,42.0,0.0
4.0,0.0,0.0,2.56,0.77,0.99,0.02,96.0,0.0
0.0,1.0,30.0,2.75,0.25,0.8,0.0,51.0,0.0
0.0,1.0,31.0,0.69,0.11,0.57,0.57,358.0,0.0
0.0,1.0,10.97,4.44,0.37,0.29,0.0,82.0,0.0
4.0,0.0,0.0,7.43,0.48,0.69,0.0,72.0,0.0
0.0,1.0,24.0,1.18,1.0,1.0,0.33,76.0,0.0
0.0,1.0,8.0,1.83,0.84,1.0,0.04,95.0,0.0
0.0,1.0,24.0,2.7,0.44,0.88,0.0,74.0,0.0
0.0,1.0,42.0,5.69,0.8,0.63,0.0,84.0,0.0
14.0,0.0,0.0,109.1,0.47,0.96,0.0,394.0,0.0
0.0,1.0,16.0,3.84,0.77,0.64,0.0,74.0,0.0
6.0,0.0,0.0,10.61,0.73,0.94,0.0,77.0,0.0
6.0,0.0,0.0,20.37,0.84,0.89,0.0,83.0,0.0
0.0,1.0,32.0,4.05,0.57,0.76,0.0,58.0,0.0
0.0,1.0,41.0,1.25,0.3,0.55,0.3,400.0,0.0
6.0,0.0,0.0,18.9,0.01,0.32,0.0,58.0,0.0
0.0,2.0,83.0,20.27,0.82,0.86,0.0,41.0,0.0
0.0,1.0,33.0,1.18,0.99,0.63,0.61,282.0,0.0
12.0,0.0,0.0,495.22,0.87,0.99,0.0,123.0,0.0
0.0,1.0,32.0,3.77,0.38,0.65,0.0,82.0,0.0
0.0,1.0,39.0,2.32,0.36,0.17,0.13,2364.0,0.0
0.0,1.0,15.0,1.01,0.25,1.0,0.44,64382674.0,0.0
1.0,1.0,8.99,3.63,0.53,1.0,0.32,559904.0,0.0
3.0,0.0,0.0,271.48,0.99,1.0,0.0,119.0,0.0
24.0,0.0,0.0,91.41,0.16,0.93,0.0,286.0,0.0
4.0,0.0,0.0,362.54,0.97,1.0,0.0,146.0,0.0
3.0,0.0,0.0,33.56,0.96,0.94,0.0,142.0,0.0
4.0,0.0,0.0,38.5,0.43,0.61,0.0,109.0,0.0
0.0,1.0,8.99,9.04,0.07,0.6,0.0,162.0,0.0
5.0,0.0,0.0,7.09,0.9,0.95,0.0,58.0,0.0
4.0,0.0,0.0,1.04,0.99,1.0,0.14,108.0,0.0
8.0,0.0,0.0,3.47,0.8,0.7,0.0,234.0,0.0
0.0,1.0,46.0,2.8,0.78,0.56,0.0,141.0,0.0
3.0,0.0,0.0,22.33,0.89,0.82,0.0,112.0,0.0
0.0,1.0,12.0,3.35,0.24,0.68,0.0,52.0,0.0
0.0,3.0,87.0,7.94,0.9,0.99,0.0,109.0,0.0
3.0,0.0,0.0,93.3,0.96,1.0,0.18,171.0,0.0
0.0,1.0,9.0,2.02,0.36,1.0,0.28,123.0,0.0
0.0,2.0,77.9,9.53,0.88,0.81,0.0,99.0,0.0
0.0,1.0,8.0,2.46,0.36,0.33,0.06,79.0,0.0
0.0,5.0,193.0,6.24,0.81,0.81,0.0,179.0,0.0
0.0,1.0,24.0,0.93,1.0,1.0,0.52,70933939.0,0.0
0.0,1.0,35.0,4.89,0.6,0.89,0.0,72.0,0.0
55.0,8.0,84.81,9.96,0.92,0.99,0.32,1996956.0,1.0
6.0,0.0,0.0,12.37,0.59,1.0,0.0,185.0,0.0
0.0,1.0,33.0,2.75,0.97,0.97,0.0,56.0,0.0
4.0,0.0,0.0,10.94,0.99,0.85,0.0,144.0,0.0
106.0,7.0,127.98,128.9,0.28,0.3,0.0,16568.0,0.0
0.0,1.0,11.94,1.24,0.49,0.39,0.36,26587551.0,0.0
0.0,1.0,42.0,4.74,0.52,0.38,0.0,62.0,0.0
0.0,1.0,32.0,2.44,0.5,0.98,0.27,117.0,0.0
0.0,3.0,80.0,5.1,0.47,0.56,0.21,413.0,0.0
0.0,1.0,9.0,2.91,0.47,0.81,0.0,75.0,0.0
0.0,1.0,11.0,1.49,0.68,0.92,0.29,202.0,0.0
0.0,1.0,20.0,2.73,0.39,0.76,0.0,115.0,0.0
0.0,1.0,42.91,1.14,0.99,0.77,0.31,4759.0,0.0
0.0,1.0,7.99,78.18,0.98,0.42,0.0,578.0,0.0
0.0,1.0,39.0,2.27,0.29,1.0,0.0,188.0,0.0
0.0,1.0,26.0,1.47,0.64,0.71,0.32,746.0,0.0
3.0,0.0,0.0,46.79,0.86,0.99,0.09,78.0,0.0
0.0,1.0,9.0,1.33,0.84,0.14,0.37,6684200.0,0.0
7.0,0.0,0.0,107.25,0.51,0.87,0.0,285.0,0.0
4.0,0.0,0.0,4.73,0.41,0.86,0.0,143.0,0.0
39.0,0.0,0.0,644.43,0.94,1.0,0.0,255.0,0.0
6.0,0.0,0.0,5.73,1.0,0.95,0.0,113.0,0.0
3.0,0.0,0.0,10.8,0.38,0.52,0.0,1175.0,0.0
0.0,1.0,29.0,0.86,0.3,0.4,0.47,4319510.0,0.0
3.0,0.0,0.0,4.51,0.78,0.83,0.0,69.0,0.0
0.0,1.0,18.0,0.66,0.0,1.0,0.52,76947509.0,0.0
0.0,1.0,21.0,1.03,0.53,0.5,0.42,16037702.0,0.0
4.0,0.0,0.0,93.68,0.47,0.92,0.0,153.0,0.0
4.0,0.0,0.0,4.13,0.18,0.18,0.0,38.0,0.0
0.0,1.0,22.99,2.56,0.66,0.58,0.0,99.0,0.0
0.0,1.0,24.82,1.74,0.93,0.88,0.11,88.0,0.0
0.0,1.0,30.0,2.65,0.35,0.82,0.15,2133.0,0.0
0.0,1.0,21.98,15.53,0.62,0.7,0.0,64.0,0.0
9.0,0.0,0.0,9.04,0.81,0.98,0.0,232.0,0.0
11.0,0.0,0.0,2.14,0.02,0.92,0.26,19916629.0,0.0
4.0,0.0,0.0,4.2,0.81,0.64,0.0,129.0,0.0
1.0,1.0,9.0,57.7,0.39,0.94,0.0,208.0,0.0
12.0,0.0,0.0,13.15,0.69,0.12,0.0,243.0,0.0
0.0,1.0,25.0,2.32,0.5,0.5,0.0,69.0,0.0
4.0,0.0,0.0,7.47,0.63,0.87,0.0,311.0,0.0
0.0,1.0,19.0,2.57,0.25,0.92,0.14,118.0,0.0
18.0,0.0,0.0,330.59,0.62,0.94,0.0,56.0,0.0
0.0,1.0,9.0,1.89,0.49,0.77,0.0,122.0,0.0
0.0,1.0,58.88,3.78,0.43,0.68,0.0,68.0,0.0
0.0,1.0,30.0,1.99,0.39,0.94,0.04,148.0,0.0
0.0,1.0,8.99,5.57,0.36,0.58,0.0,67.0,0.0
0.0,1.0,8.0,1.79,0.68,1.0,0.06,87.0,0.0
0.0,1.0,12.0,1.08,0.66,1.0,0.23,1116.0,0.0
4.0,0.0,0.0,3.02,0.49,0.99,0.0,129.0,0.0
0.0,1.0,9.0,5.61,0.5,0.78,0.0,145.0,0.0
0.0,3.0,73.68,4.31,0.97,0.97,0.0,78.0,0.0
8.0,0.0,0.0,185.29,0.55,0.95,0.0,161.0,0.0
8.0,0.0,0.0,3.01,1.0,0.95,0.0,157.0,0.0
8.0,0.0,0.0,23.71,0.55,0.53,0.0,1401.0,0.0
4.0,0.0,0.0,0.47,0.25,1.0,0.53,161.0,0.0
0.0,1.0,18.0,3.91,0.52,0.69,0.0,90.0,0.0
4.0,0.0,0.0,1.19,0.69,0.77,0.16,378.0,0.0
4.0,0.0,0.0,13.86,0.65,0.75,0.0,63.0,0.0
0.0,1.0,40.0,3.79,0.64,0.46,0.0,68.0,0.0
0.0,1.0,35.0,2.86,0.32,0.77,0.0,80.0,0.0
9.0,0.0,0.0,341.88,0.7,0.83,0.0,49.0,0.0
